No,日付,店名,元データ
1,,チャージ代,"ご利用日付
時刻

領収書
2025年

カード番号:」[308[15120800310
取引内容:チャージ金10000円

伝票番号:21268
=この領収書は大切に保存してください。
・毎度ありがとうございます。
東葉北習駅 十青  01発行
東葉高速漱道株式=社

ロロ
Λ「¨V
口月
A=V

分
AXV

時
ハーIV
A=V"
2,,チャージ代,"領収書
ご利用日1寸     2025年00月
時亥|1          11時
カード番号:'3803024020108373

取引内容:チャージ金 5000円
うちSF     5000円

伝票番号:26051
・この領収書は大切に保存して〈ださい。
・毎度ありがとうございます。
八千緑丘駅券001発行
東葉高速鉄道株式会社

口H △刀
Aソ′一^■■V"
3,2025/03/02,,"東京メトロ

国

領収書

・ご利用ありがとうございます。
_1_こユ邁量聖」自L饉塾こLコI二堡重lL乙工L≦L二Lこ壼`L_
お取引内容:定期券   ￥31,440

うち定期    ￥30.940※
ぅちデポジット   ￥500
上記金額を領収いたしました。
※課税10%対象

カード番号:PB:ll,24120111:il
ご利用日付 2025年03月02日
時刻       23口寺02分

伝票番号:68409
東京地下鉄株式会社

登録番号:T4010501022810
地 渋谷駅 券02発行"
4,,チャージ代,"領収書
ご利用日1寸  121D25年03月06日
時亥1      17時14分
カード番号:P3田3)240m108073
取引内容:チャージ
金  1000円

伝票番号.96332
0この領収書は大切に保存してください。
・毎度ありがとうございます。
大山駅 券51A発行
東武鉄道株式会社
登録番号:T60100010115u,"
5,,,"領収書

ir{Hntr 2025+04n03e
fru 2 1l+2 0a
,- F*E : PB803024020108373
ft5tfi8 z7r-e e3000H

うちSF     3000円

伝票番号:25115

t毎度ありがとうございます。

様

艤条号り税
W52よ課
卿第第に非

蒙聖TT鏑高品獅
東京都交通局"
6,,チャージ代,"領収書
ご和l用日1寸     2025年
時刻

カード番号:J[308[16120800010
取引内容:チャージ金10000円

伝票番号:21095
.この領収書は大切に保存して〈ださい。
'毎度ありがとうございます。
東葉北習駅 十青  ol発行
東葉高速i■道株式会社

ロロ
A=V
口月
A=V

△刀
11■
A=V
時

A=V"
7,,チャージ代,"領収書
ご利用日1寸   2025年
時刻

カード番号:P3803024020108873
取引内容:チャージ金10000円

伝票番号:13445
'この領収書は大切に保存してください。
・毎度ありがとうございます。
東葉北習駅 :青  02発行
東葉高速婁井道株式会社

ロロ
日月
月ムマ
A=V

分
A=V
時"
8,2025/03/05,チャージ代,"口■

領収書

ご利用ありがとうございます、,
この領収書は大切に保存してください

お取引内容:チャージ
~~上記金額を領収t

AV。
nvた
nvし
,ま
llじ
軍Tた

カード番号:PB803D240201 08373
ご利用日付 2025年03月05日
時亥」     06時38分
伝票番号:86863
東京地下鉄株式会社
地高田馬駅 券01発行"
9,2025/02/15,チャージ代,"口■

領収書

ご利用ありがとうございます、,
この領収書は大切に保存してください。

お取引内容:チャージ ￥10,000
~ ~上記金額を領収いたしました。

カード番号:JE308E1 51 2080031 0

こ利用日付 2025年02月15日
時刻      04時47分
..f  伝票番号:86098
J京地下鉄株式会社
地高田馬駅 券01発行"
10,2023/03/15,,"タイムズ24株式会社
0120-77-8924
登録番号T4010001137274
タイムズ船橋法典第6
-一一――S買4叉:瓢詳―一―――
駐車位置番号:4
入庫日時 2023年03月15日 10時35分
精算日時 2025年03月15日 16時28分
No.0000000915精算機1009299891号機
駐車料金            900円

合計(税込10%)
現金支払
釣銭額

900F=]
1,000P∃
100Pヨ"
11,2025/03/20,,"タイムズ24株式会社
0120-77-8924
登録番号T4010001137274
タイムズ船橋法典第6
-――――令頁1おZ:謹トーーーーー
駐車位置番号:1
入庫日時 2025年03月20日 10時33分
精算日時 2025年03月20日 16時29分
No.0000000933精算機:009299891号機
駐車料金            900円

合計(税込10%)
現金支払
釣銭額

900F=∃
1,000F=∃
100F=∃"
12,,,"領収書

NTTル・パルク
西習志野第2駐車場
株式会社NTTル・パルク
登録:番号 T9011001025282
消費税率 内税10%

駐車番号
入庫時間
出庫時間
請求金額
現金
領収日

004番
02「]05E1 16:00
02「]05E1 23:34
600円
600円
2025年02「]05日"
13,,,"領収書

NT丁ル・パルク
西習志野第2駐車場
株式会社NTTル・パルク
:蛍:録嗜昏:=号‐ T9011001025282
消費税率 内税10%

駐車番号
入庫時間
出庫時間
請求金額
現金
領収日

004番
02月08E1 15:16
02日08日 23:37
600円
600円
2025年02「]08日"
14,,,"領収書

N丁丁ル・パルク
西習志野第2駐車場
株式会社N丁丁ル・パルク
I当:金景番=号‐ T9011001025282
消費税率 内税10%

駐車番号
入庫時間
出庫時間
請求金額
現金
領収日

004番
02「]06E1 13:02
02「]06E1 22:22
600円
600円
2025年02「]06日"
